source,target,weight
BADZAK,MIBQAR11,1.0
BADZAK,MIBQAR13,1.0
BADZAK,MIBQAR04,1.0
BAFHOI,XAWDUX01,0.8999999761581421
BAFHOI,SOCJUR,0.8999999761581421
BAFHOI,SOCKEC,0.8999999761581421
BAFQUW,ZAJKED,0.8999999761581421
BAFQUW,BOVQUZ,0.8999999761581421
BAFQUW,BARKUD,0.8999999761581421
BAFRAD,BARKUD,0.8999999761581421
BAFRAD,GUSWEX,0.8999999761581421
BAFRAD,ZAJKED,0.8999999761581421
BAFRAD,DULVEM,0.8999999761581421
BAFREH,QUJFUX,0.8999999761581421
BAFREH,GUSWEX,0.8999999761581421
BAFREH,QUJGAE,0.8999999761581421
BAHGUN,POFFEX,1.0
BAHGUN,POFDEV,1.0
BAHGUN,EGOZAB,1.0
BAHGUN,QERZUI01,1.0
BAKJEE,CANYIB,1.0
BAKJEE,BAKJOO,1.0
BAKJEE,BAKJII,1.0
BAKJEE,TIDNIF,1.0
BAKJEE,JALNUI,0.8999999761581421
BAKJII,BAKJOO,1.0
BAKJOO,JALNUI,0.8999999761581421
BAKWIV,XAHZAI01,0.8999999761581421
BAKWIV,REGLOG,0.8999999761581421
BALFAV01,BALFAV04,1.0
BALFAV02,BALFAV04,1.0
BALFAV02,BALFAV03,1.0
BALFAV03,BALFAV04,1.0
BALLOP,CUTMAH,1.0
BALLOP,CUSZEX,1.0
BALMUW,BAOXAL03,1.0
BALMUW,QQQBNA11,1.0
BALMUW,BAOXAL,1.0
BALMUW,BAOXAL02,1.0
BALMUW,YAMBIZ,1.0
BALMUW01,BAOXAL03,1.0
BALMUW01,QQQBNA11,1.0
BALMUW01,BAOXAL,1.0
BALMUW01,DUJQUW,0.8999999761581421
BAMNAH,BAMNEL,1.0
BAMNEL,NUHDUQ,0.8999999761581421
BAMNEL,ZOZBEX,0.8999999761581421
BANLUA,VIMNEN,1.0
BANLUA,NAHQIY,1.0
BANLUA,UQUMID,0.8999999761581421
BAOXAL,BAOXAL03,1.0
BAOXAL,YAMBIZ,1.0
BAOXAL02,BAOXAL03,1.0
BAOXAL02,YAMBIZ,1.0
BAOXAL02,WUYPUD,1.0
BAOXAL02,WEMCAU,0.8999999761581421
BAOXAL03,YAMBIZ,1.0
BAOXAL03,QQQBNA11,1.0
BAOXAL03,WUYPUD,1.0
BAQMOW,FAMTAO,1.0
BAQMOW,BAQXOG,1.0
BAQMOW,BAQXOG03,1.0
BAQMUC,FAFMAA,1.0
BAQMUC,YUHVEE,1.0
BAQMUC,QUMSOH,0.8999999761581421
BAQXOG,FAMTAO,1.0
BAQXOG,BAQXOG03,1.0
BAQXOG03,FAMTAO,1.0
BAQXOG03,WACBEI,0.8999999761581421
BARJAG,FIBXAS,0.8999999761581421
BARKUD,DULVEM,0.8999999761581421
BARKUD,GUSWEX,0.8999999761581421
BASHIN,GANBIH,1.0
BASHIN,JAKBUV,1.0
BASHIN,GANBAZ,1.0
BASHIN,JAKBIJ,1.0
BASHIN,JAKBOP,1.0
BASHIN,JAKBOP01,1.0
BASHIN,KURHIQ,1.0
BASJUB,IKOTEH,1.0
BASJUB,IKOSUW,0.8999999761581421
BAXFIR02,BAXGAK,1.0
BAXFIR02,BAXFUD,1.0
BAXFIR02,XOCTUG,0.8999999761581421
BAXFUD,XOCTUG,0.8999999761581421
BAXGEP,YAFJEX,1.0
BAYJEQ,YOCMAF,0.8999999761581421
BAYJEQ,VOCTOW,0.8999999761581421
BAYQAU,BAYQAU01,1.0
BAYQAU,BAYQAU11,1.0
BAYQAU,OWIGOR,0.8999999761581421
BAYQAU01,BAYQAU11,1.0
BAYQAU01,OWIGOR,0.8999999761581421
BAYQAU05,BAYQAU09,1.0
BAYQAU05,BAYQAU10,1.0
BAYQAU05,BAYQAU06,1.0
BAYQAU05,BAYQAU07,1.0
BAYQAU05,YUWHOO,0.8999999761581421
BAYQAU06,BAYQAU09,1.0
BAYQAU06,BAYQAU10,1.0
BAYQAU07,BAYQAU09,1.0
BAYQAU07,BAYQAU10,1.0
BAYQAU07,YUWHOO,0.8999999761581421
BAYQAU09,BAYQAU10,1.0
BAZBOW,TOWPAY,1.0
BAZFUF,QOWRAV10,1.0
BAZFUF,BAZFUF01,1.0
BAZFUF,QOWRAV,1.0
BAZFUF,BAZGAM,1.0
BAZFUF,MIXZOK,0.8999999761581421
BAZFUF01,QOWRAV,1.0
BAZGAM,QOWRAV,1.0
BECKOM,PEMREG,1.0
BECKOM,UVUFUN,0.8999999761581421
BECKOM,OZOGAN,0.8999999761581421
BECRUX01,BECRUX07,1.0
BECRUX01,BECRUX04,1.0
BECRUX01,BECRUX02,1.0
BECRUX01,BECRUX03,1.0
BECRUX01,BECRUX05,1.0
BECRUX02,BECRUX04,1.0
BECRUX03,BECRUX04,1.0
BECRUX03,BECRUX05,1.0
BEDJOL,KORMOV,0.8999999761581421
BEDJOL,KORMUB,0.8999999761581421
BEFKEF,IQEKUM,1.0
BEFKEF01,IQEKUM,1.0
BEFKEF01,RUVMAX,1.0
BEFKEF01,FUFREE,0.8999999761581421
BEGFID,FUFVEJ,0.8999999761581421
BEGFID,FIFPAM,0.8999999761581421
BEGFID,IWEQIK,0.8999999761581421
